ENTREZGENE	M172_1_CDS	M172_2_CDS	M172_3_CDS	Mgfp_1_CDS	Mgfp_2_CDS	Mgfp_3_CDS	ENSG
RAD34	97	204	228	159	169	231	YDR314C
MTC2	327	657	583	479	494	514	YKL098W
MRS3	232	462	485	451	457	494	YJL133W
CDC27	436	989	951	571	662	829	YBL084C
SAN1	285	560	585	267	337	455	YDR143C
YSA1	3286	6702	5736	5293	5035	5740	YBR111C
RGD2	149	338	296	242	243	294	YFL047W
NOC4	210	438	432	230	233	301	YPR144C
YIL166C	93	196	178	120	123	169	YIL166C
YPS7	605	1219	1297	614	593	837	YDR349C
STS1	594	1187	1254	738	771	991	YIR011C
COQ9	437	1038	876	749	785	908	YLR201C
YBL005W-A	0	0	0	0	0	0	YBL005W-A
YBL005W-B	198	440	380	143	160	193	YBL005W-B
ZPS1	526	1175	1028	1991	2202	1079	YOL154W
YGL235W	1	0	0	0	0	0	YGL235W
SHE3	173	358	368	289	271	367	YBR130C
MON2	379	758	711	588	561	646	YNL297C
TYE7	177	364	391	228	254	414	YOR344C
ALG6	508	1097	1013	789	827	975	YOR002W
SLY1	344	706	685	495	542	653	YDR189W
FRT2	233	510	466	382	411	447	YAL028W
ATX2	82	180	143	158	146	130	YOR079C
RPB7	314	674	558	617	578	725	YDR404C
ECM14	971	2018	1983	1333	1367	1606	YHR132C
GSH2	459	1018	897	671	602	829	YOL049W
RAD61	111	189	205	113	111	162	YDR014W
DTR1	18	37	32	16	21	39	YBR180W
RSM25	270	578	536	430	430	502	YIL093C
AFG2	122	249	253	149	124	169	YLR397C
LEE1	364	893	813	408	442	681	YPL054W
YDR194W-A	0	1	0	0	0	0	YDR194W-A
YIL151C	229	495	503	369	398	434	YIL151C
THI4	66	87	113	70	53	142	YGR144W
YGR111W	591	1251	1087	1056	1030	1275	YGR111W
CDC43	207	444	470	319	296	417	YGL155W
SFC1	174	362	495	153	132	344	YJR095W
CRT10	245	555	488	420	417	481	YOL063C
YRF1-4	1	2	2	1	2	4	YLR466W
YJL193W	55	93	88	114	78	84	YJL193W
VMA3	2379	5093	4363	4266	3898	4251	YEL027W
INO2	117	294	297	112	125	176	YDR123C
YLR057W	99	202	219	136	127	152	YLR057W
MMS22	150	297	266	222	250	240	YLR320W
CMK1	1577	3323	2972	2767	2772	3464	YFR014C
PEP5	164	354	322	264	264	270	YMR231W
YMR247W-A	20	35	39	55	46	60	YMR247W-A
SST2	128	278	227	182	174	242	YLR452C
MPH3	16	25	28	9	10	9	YJR160C
TCB1	978	2011	1661	2304	2055	2241	YOR086C
DAS2	91	139	141	73	90	96	YDR020C
YGR053C	201	396	337	195	190	287	YGR053C
LEA1	124	271	253	148	140	179	YPL213W
PMS1	31	68	73	52	53	72	YNL082W
RFM1	102	194	225	179	156	203	YOR279C
YPL264C	56	111	87	118	104	111	YPL264C
RPB8	172	347	345	379	392	439	YOR224C
YBP2	122	256	228	169	165	208	YGL060W
RPS2	2080	5026	4699	4516	3962	5551	YGL123W
HIP1	777	1634	1598	1179	1185	1375	YGR191W
SKT5	161	392	386	228	257	272	YBL061C
SIP5	473	944	1008	549	629	901	YMR140W
YPR114W	296	766	655	642	657	688	YPR114W
YOR072W-B	0	0	0	0	0	0	YOR072W-B
RPS19B	2234	4805	4382	3873	3346	4691	YNL302C
TIF3	1132	2237	2393	1814	1629	2231	YPR163C
VAB2	249	502	444	382	347	431	YEL005C
RBA50	147	267	293	115	126	175	YDR527W
SSP2	8	18	16	16	8	13	YOR242C
YIH1	286	597	544	289	320	432	YCR059C
YGR042W	212	424	419	316	309	398	YGR042W
YCP4	1407	3018	2693	2837	2638	3241	YCR004C
YDR115W	151	313	258	205	214	244	YDR115W
IRC19	39	87	94	56	71	60	YLL033W
YMD8	227	491	522	534	509	605	YML038C
SMK1	117	252	241	127	121	197	YPR054W
MMS4	62	135	123	44	85	79	YBR098W
YLR031W	41	69	78	48	57	97	YLR031W
STE7	153	328	382	219	215	280	YDL159W
JAC1	181	364	341	229	241	321	YGL018C
RCO1	147	264	240	195	247	305	YMR075W
PCT1	421	894	829	611	631	921	YGR202C
RGA2	282	608	545	501	504	557	YDR379W
DBP8	44	112	88	62	54	69	YHR169W
ARP5	443	1020	881	694	673	856	YNL059C
PAU2	28	84	70	36	39	56	YEL049W
BEM4	220	502	497	298	327	392	YPL161C
QDR2	1523	3498	2995	2419	2438	2812	YIL121W
YLR278C	349	806	762	702	717	831	YLR278C
RPS10A	1414	2845	2608	2283	1993	2804	YOR293W
PEX21	167	381	366	176	167	228	YGR239C
NSP1	398	943	912	665	670	826	YJL041W
RPN6	1582	3171	2898	2562	2435	2895	YDL097C
LCL2	97	215	230	146	115	171	YLR104W
ECM9	110	234	193	214	189	240	YKR004C
YML096W	117	268	232	167	165	228	YML096W
YHR192W	211	409	363	322	310	346	YHR192W
OAZ1	226	452	496	224	209	271	YPL052W
CFD1	248	518	449	322	277	405	YIL003W
EXO5	110	263	219	154	160	195	YBR163W
RMT2	191	465	468	291	275	399	YDR465C
SMY1	369	797	749	694	703	715	YKL079W
DUG1	872	1979	1754	1763	1684	2297	YFR044C
YLR256W-A	65	130	149	84	111	162	YLR256W-A
QCR6	1617	3397	3024	4086	3865	5100	YFR033C
YJR116W	115	287	254	146	125	185	YJR116W
SAP4	108	231	194	171	173	231	YGL229C
ATG33	594	1168	1048	863	852	1069	YLR356W
USE1	199	402	394	312	278	397	YGL098W
YJR056C	163	361	334	278	274	292	YJR056C
FLD1	47	111	72	98	84	113	YLR404W
RTS3	937	1896	1909	788	911	1532	YGR161C
BTS1	67	141	130	119	87	124	YPL069C
KIP3	99	245	210	134	139	160	YGL216W
HAC1	889	1723	1646	1617	1573	2046	YFL031W
IML1	184	404	369	317	297	393	YJR138W
YPT32	173	412	380	241	248	300	YGL210W
SFH5	209	428	361	292	275	322	YJL145W
AGP2	917	1743	1771	1098	1112	1290	YBR132C
PRM3	19	51	43	25	24	31	YPL192C
HRB1	534	1230	1166	1019	1041	1287	YNL004W
RBL2	100	203	220	148	131	164	YOR265W
YNL067W-B	0	1	0	1	3	0	YNL067W-B
RNA14	450	943	931	621	620	778	YMR061W
SUP35	821	1875	1700	1632	1558	1870	YDR172W
ARR1	283	559	531	519	484	621	YPR199C
DDC1	70	156	137	113	104	116	YPL194W
YCL012C	175	286	320	223	231	227	YCL012C
YOR365C	61	146	137	59	68	96	YOR365C
RPT3	1059	2229	2158	1560	1596	1954	YDR394W
MIP1	407	811	796	575	586	739	YOR330C
BUD14	502	1033	1007	532	611	728	YAR014C
AQY2	23	40	33	30	43	37	YLL052C
ATG19	677	1419	1306	1073	1021	1380	YOL082W
DFG16	190	369	374	222	268	361	YOR030W
CYT1	1344	2742	2389	2743	2879	3772	YOR065W
YNL034W	22	24	23	13	28	15	YNL034W
REI1	53	135	159	80	60	90	YBR267W
YBR285W	496	1033	951	898	922	1140	YBR285W
HSP12	9860	17607	16026	20535	17343	29235	YFL014W
PAP2	109	239	203	149	160	184	YOL115W
YCG1	87	158	199	145	107	133	YDR325W
SSK2	206	484	439	457	416	452	YNR031C
TOM22	697	1466	1334	1137	1075	1365	YNL131W
TIM9	17	36	29	18	27	26	YEL020W-A
PDR3	353	792	706	329	320	399	YBL005W
RSM10	500	1001	940	684	667	833	YDR041W
ALG13	201	353	333	412	417	465	YGL047W
ADH7	106	207	179	49	61	114	YCR105W
ECM21	329	627	531	546	524	602	YBL101C
YPL236C	199	379	374	393	371	439	YPL236C
YPR015C	125	226	190	101	112	179	YPR015C
PAC11	61	103	115	63	61	83	YDR488C
RNH203	31	50	69	42	48	64	YLR154C
GND2	506	1076	779	1408	1385	1724	YGR256W
GDA1	277	617	558	487	449	608	YEL042W
PPR1	22	47	52	45	40	40	YLR014C
NSA2	139	298	270	150	168	246	YER126C
AZF1	392	923	912	624	684	991	YOR113W
TOM71	271	609	564	538	504	592	YHR117W
FIG1	4	3	2	5	3	7	YBR040W
THI21	91	172	150	116	124	150	YPL258C
RRT12	104	166	172	125	137	134	YCR045C
TOR2	318	677	629	486	464	544	YKL203C
SEC28	542	1011	939	1163	1125	1205	YIL076W
PUS9	139	292	300	209	221	298	YDL036C
VBA3	0	0	2	1	0	0	YCL069W
YJL113W	41	82	92	71	56	86	YJL113W
NTE1	77	225	184	170	166	225	YML059C
IPT1	539	1154	1097	745	792	998	YDR072C
YKR045C	38	85	73	45	54	76	YKR045C
YIL014C-A	133	235	193	137	120	197	YIL014C-A
YFL067W	2	10	10	0	4	16	YFL067W
EDC2	559	1104	1015	992	1065	1286	YER035W
ANT1	118	259	262	223	193	230	YPR128C
RPS27A	80	186	173	150	157	135	YKL156W
IMP3	42	98	112	48	56	63	YHR148W
TMA17	1347	2737	2443	2394	2263	2942	YDL110C
YMR134W	119	255	211	145	128	159	YMR134W
NAT4	7	26	23	3	12	13	YMR069W
MND2	135	299	317	194	161	252	YIR025W
YOR283W	272	576	527	406	380	449	YOR283W
PMC1	1228	2708	2486	2475	2547	2734	YGL006W
NCR1	646	1438	1385	1176	1197	1376	YPL006W
GPT2	876	1939	1657	1446	1360	1671	YKR067W
GLN4	415	920	856	614	599	764	YOR168W
MCM1	551	1260	1166	1046	1110	1378	YMR043W
BET5	52	114	104	95	106	97	YML077W
MOT2	363	745	735	524	526	818	YER068W
PRP22	183	320	405	295	292	333	YER013W
TMA23	86	110	152	78	79	104	YMR269W
MDM35	315	642	529	521	492	549	YKL053C-A
AIP1	833	1791	1731	1360	1464	1680	YMR092C
CCT8	605	1237	1156	915	928	1063	YJL008C
NPY1	150	355	303	257	240	271	YGL067W
LTP1	342	709	608	528	493	606	YPR073C
SGF29	192	422	397	329	345	425	YCL010C
RPL35A	911	1772	1827	1553	1242	1886	YDL136W
YTA7	485	1132	986	960	974	1079	YGR270W
YHR177W	86	153	168	126	114	166	YHR177W
VMA4	322	725	605	639	601	623	YOR332W
BAP3	857	1738	1736	928	1044	1575	YDR046C
HXT15	34	82	69	38	56	70	YDL245C
OMS1	302	587	569	402	422	414	YDR316W
YAF9	113	242	248	178	147	220	YNL107W
YLR227W-B	69	138	109	72	81	111	YLR227W-B
UGA4	47	85	80	38	58	70	YDL210W
PEX29	556	1253	1175	1082	1095	1330	YDR479C
CWP1	91	178	208	364	361	474	YKL096W
YBL086C	559	1192	1179	717	800	1146	YBL086C
RPL16B	2037	4170	3864	3626	3058	4422	YNL069C
COX13	1550	2901	2652	2931	2761	3186	YGL191W
FET5	521	1164	1140	706	652	827	YFL041W
SET2	97	220	215	283	234	253	YJL168C
TAF12	487	1106	1003	779	726	931	YDR145W
ECM11	4	16	8	4	1	2	YDR446W
LAS21	196	371	362	309	312	349	YJL062W
FIG4	113	240	228	150	136	184	YNL325C
GIT1	21	56	37	29	22	35	YCR098C
YLR363W-A	35	59	67	44	53	63	YLR363W-A
SHE2	101	206	183	200	172	222	YKL130C
REV1	313	629	586	369	309	418	YOR346W
PRM9	29	77	75	25	36	47	YAR031W
SEC15	437	848	775	715	666	793	YGL233W
DAM1	220	409	438	289	271	387	YGR113W
BUD6	185	404	374	320	244	325	YLR319C
RPA190	282	618	554	406	327	475	YOR341W
HDA2	173	340	375	221	234	325	YDR295C
YAL063C-A	12	24	19	7	10	14	YAL063C-A
SOR1	2	4	4	1	7	8	YJR159W
WSS1	101	198	220	145	160	175	YHR134W
YLR426W	80	180	156	69	90	121	YLR426W
PCH2	23	59	47	38	32	47	YBR186W
RRD1	248	530	520	340	442	555	YIL153W
REE1	1924	3683	3669	1947	2027	1969	YJL217W
YIL102C	17	30	34	43	36	31	YIL102C
BDF1	533	1021	1083	1259	1243	1217	YLR399C
SWC3	155	329	289	234	220	263	YAL011W
CLB3	233	501	497	375	389	477	YDL155W
GPX2	90	206	163	82	78	126	YBR244W
FZO1	505	1051	975	499	495	744	YBR179C
KIP2	65	174	173	185	170	190	YPL155C
JJJ3	10	28	18	17	11	9	YJR097W
BTN2	802	1601	1317	870	839	892	YGR142W
ATG21	478	978	952	700	756	1014	YPL100W
YLR257W	3072	6410	5505	6010	6075	7201	YLR257W
LSM2	302	637	585	475	428	517	YBL026W
DPB4	148	311	293	157	156	215	YDR121W
BNI4	90	190	207	134	144	173	YNL233W
NIP7	102	230	186	192	155	181	YPL211W
VAM6	178	364	362	292	275	331	YDL077C
ODC2	463	859	828	495	509	728	YOR222W
URA3	0	0	0	0	0	0	YEL021W
PRS5	309	672	674	537	565	597	YOL061W
PAM18	144	283	225	227	222	228	YLR008C
YHR210C	27	66	76	55	51	62	YHR210C
YLR464W	0	0	0	0	0	0	YLR464W
RPS14B	190	398	366	264	255	366	YJL191W
ESC1	633	1479	1430	944	1052	1322	YMR219W
SPT8	212	419	359	264	289	318	YLR055C
YJR061W	256	566	467	310	342	418	YJR061W
PAU6	2	5	4	10	1	2	YNR076W
YFR016C	729	1672	1436	1144	1336	1614	YFR016C
YIL077C	776	1663	1474	1388	1544	1815	YIL077C
HST4	30	53	43	59	71	39	YDR191W
PRK1	200	421	385	354	352	440	YIL095W
END3	580	1080	1046	1044	930	1173	YNL084C
SGF73	394	873	848	565	636	889	YGL066W
ETT1	150	269	287	269	210	332	YOR051C
YBR287W	1091	2313	2121	2099	2092	2486	YBR287W
GRX4	201	413	412	295	277	438	YER174C
SPS22	37	67	50	27	35	55	YCL048W
RPL13B	3332	6965	6631	5452	4712	6862	YMR142C
YDR119W-A	1471	2733	2442	3811	3701	4399	YDR119W-A
LYS20	3350	7128	7145	1064	1169	2254	YDL182W
GPG1	562	1127	970	863	971	1008	YGL121C
GLO4	356	710	647	432	427	571	YOR040W
UBP13	292	647	566	633	601	659	YBL067C
UPS2	170	343	321	273	253	355	YLR168C
OSH2	641	1196	1085	1250	1209	1296	YDL019C
TOS6	61	158	138	126	218	268	YNL300W
ZDS1	160	357	383	247	346	349	YMR273C
CDC37	699	1498	1347	1227	1186	1376	YDR168W
COS6	476	1174	1044	650	609	796	YGR295C
CDC10	462	1030	915	910	879	987	YCR002C
MSS11	170	392	385	255	290	375	YMR164C
YLR307C-A	139	257	339	290	310	456	YLR307C-A
PDS1	109	183	164	163	183	197	YDR113C
GPI13	191	465	430	292	303	412	YLL031C
RSC58	267	468	437	386	384	451	YLR033W
GAA1	211	446	381	325	331	393	YLR088W
FUR4	137	348	352	138	136	161	YBR021W
OM14	1722	3445	3197	3595	3215	4549	YBR230C
VPS20	172	371	351	230	243	298	YMR077C
HUL4	160	278	286	248	236	299	YJR036C
YGR204C-A	6	5	8	13	11	11	YGR204C-A
SMC1	81	137	170	146	147	162	YFL008W
RAD9	101	247	240	151	159	175	YDR217C
ARK1	228	546	486	346	320	409	YNL020C
YLR290C	487	1015	901	842	823	955	YLR290C
SVS1	142	289	245	261	283	386	YPL163C
SIM1	344	802	735	1056	1126	1349	YIL123W
DDR2	5913	11457	10599	10008	9740	12819	YOL052C-A
FAA4	873	2072	1712	1001	1029	963	YMR246W
SGV1	217	493	442	308	316	384	YPR161C
YPK9	229	516	465	428	449	480	YOR291W
SBA1	2217	4412	3972	4304	3777	4363	YKL117W
SEN15	88	160	188	87	78	129	YMR059W
LCB2	646	1300	1193	1117	1171	1287	YDR062W
YJL043W	8	22	13	19	18	18	YJL043W
ERG9	1858	4014	3735	2862	2973	3576	YHR190W
MDN1	639	1491	1323	1259	1089	1536	YLR106C
PAP1	337	729	693	558	525	646	YKR002W
YCR095W-A	20	20	55	29	25	35	YCR095W-A
RNH202	116	244	237	200	195	212	YDR279W
BUG1	681	1364	1233	1117	1061	1365	YDL099W
OST5	172	336	331	297	286	293	YGL226C-A
YJL147C	130	284	272	164	158	226	YJL147C
STP1	634	1380	1311	854	966	1168	YDR463W
YIL001W	155	303	303	212	220	253	YIL001W
ATG5	291	594	639	363	340	437	YPL149W
UBS1	240	472	422	335	301	414	YBR165W
PPE1	199	431	385	257	287	328	YHR075C
SMC2	211	409	433	277	302	372	YFR031C
YEL067C	60	119	112	36	47	55	YEL067C
YFR012W-A	2	3	5	4	4	3	YFR012W-A
YMR1	137	285	223	271	209	259	YJR110W
MLP2	298	709	597	497	550	668	YIL149C
SMM1	172	419	463	171	177	260	YNR015W
ORM2	1600	3075	3235	2383	2318	3518	YLR350W
RTG3	290	667	613	456	482	599	YBL103C
GTR2	424	926	884	544	599	777	YGR163W
CDC16	352	645	635	404	339	447	YKL022C
OAR1	15	29	36	20	24	26	YKL055C
CDC9	47	121	104	97	88	106	YDL164C
ISY1	312	536	606	444	417	561	YJR050W
UBC1	650	1394	1243	892	799	1027	YDR177W
LST8	429	959	819	511	482	632	YNL006W
COY1	316	679	663	575	532	578	YKL179C
PSY3	35	92	83	66	61	67	YLR376C
CNE1	104	208	175	122	128	163	YAL058W
RIM15	228	499	493	410	435	477	YFL033C
TTI2	149	231	253	184	169	174	YJR136C
SAP185	115	235	224	115	136	136	YJL098W
YML108W	101	241	231	96	94	149	YML108W
YMR310C	90	233	212	119	133	182	YMR310C
MRPL16	434	808	849	625	617	724	YBL038W
DYN2	190	369	340	319	270	289	YDR424C
CRH1	902	2016	2234	1767	2044	2197	YGR189C
YHL042W	42	102	62	51	62	83	YHL042W
CAF120	78	159	185	69	70	135	YNL278W
YDR338C	248	540	546	401	383	552	YDR338C
PIP2	375	812	834	432	476	677	YOR363C
ALG8	229	492	427	494	519	568	YOR067C
VAS1	1799	4381	3845	3081	3017	4121	YGR094W
YNR048W	101	216	192	129	140	162	YNR048W
CLB6	11	23	19	10	7	13	YGR109C
DAP2	949	2083	1871	1749	1702	2172	YHR028C
TSC10	199	511	424	509	443	510	YBR265W
SLA1	938	2198	2039	1801	2063	2483	YBL007C
RSM19	195	388	351	261	256	281	YNR037C
SKM1	250	504	491	421	500	480	YOL113W
KCC4	22	42	40	17	21	32	YCL024W
PHM7	195	400	470	547	506	753	YOL084W
PRP45	203	414	433	343	369	464	YAL032C
TIP20	251	559	519	265	278	374	YGL145W
WSC2	156	341	347	375	383	531	YNL283C
MRPL17	353	746	630	691	703	764	YNL252C
PDE1	808	1542	1582	1189	1220	1396	YGL248W
YOR020W-A	475	856	713	712	710	890	YOR020W-A
ACN9	233	547	483	362	374	445	YDR511W
UGP1	4475	10020	8098	11640	11979	12828	YKL035W
BAP2	9514	19783	19048	8952	10124	13679	YBR068C
NRG1	151	378	307	246	209	278	YDR043C
MRPL25	358	697	662	558	503	580	YGR076C
EDC3	434	954	882	777	817	1064	YEL015W
ENO1	19196	37562	34218	62103	62043	61618	YGR254W
UTR2	56	126	115	110	132	125	YEL040W
YPR013C	175	345	351	190	192	246	YPR013C
USV1	1945	4337	4011	2912	3057	4673	YPL230W
CYT2	347	682	670	451	400	480	YKL087C
DMA1	247	523	482	412	405	482	YHR115C
DSE1	1388	2990	2704	3380	3123	3206	YER124C
PET122	33	76	85	36	78	99	YER153C
CLN2	59	124	127	125	125	153	YPL256C
MNN4	198	514	483	224	287	421	YKL201C
MIM1	220	469	413	328	301	370	YOL026C
CBS1	30	69	56	47	51	74	YDL069C
YPL216W	126	302	265	187	188	229	YPL216W
FMN1	125	291	242	228	258	315	YDR236C
PHM8	235	446	385	448	436	543	YER037W
MSH3	138	264	253	187	186	206	YCR092C
SSY1	300	606	560	459	447	528	YDR160W
CCT7	635	1312	1239	1107	1083	1306	YJL111W
RNR3	52	147	116	75	63	108	YIL066C
CHS1	841	1924	2207	1592	1765	1881	YNL192W
PSR1	336	713	664	431	532	642	YLL010C
ECM30	280	638	629	558	487	644	YLR436C
MIR1	2192	4719	4612	3691	3951	4961	YJR077C
TRM3	137	280	273	136	158	212	YDL112W
RER2	106	251	218	178	185	203	YBR002C
HAP4	1315	2977	2616	2519	2420	3046	YKL109W
SRP102	88	181	172	159	158	143	YKL154W
YLR035C-A	13	21	19	18	11	14	YLR035C-A
YOL019W	206	440	583	161	242	364	YOL019W
COB	0	0	0	0	0	0	Q0105
YPS3	254	650	623	309	398	540	YLR121C
SLC1	312	700	534	487	480	561	YDL052C
KTR2	177	384	397	213	250	257	YKR061W
HMG1	433	887	806	590	629	797	YML075C
YML002W	217	458	403	321	316	368	YML002W
IES3	310	626	548	346	376	495	YLR052W
